cliente_id,nome,idade,genero,regiao,tipo_contrato,plano,valor_mensal,tempo_cliente_meses,data_contratacao,chamadas_por_mes,minutos_usados,sms_enviados,uso_dados_gb,num_reclamacoes,satisfacao_1_10,ultimo_login_dias,metodo_pagamento,tem_fibra,tem_celular_empresarial,promocoes_ativas,desconto_percentual,churn
CL000001,Cliente_1,56,M,Norte,Bienal,Padrão,85.87,29,2023-10-17,409,1050,437,44.2,7,1,32,Cartão de Crédito,True,False,0,0,1
CL000002,Cliente_2,69,M,Norte,Mensal,Padrão,176.95,58,2022-04-25,430,442,323,47.2,1,10,27,Débito Automático,False,True,2,20,0
CL000003,Cliente_3,46,M,Sul,Anual,Premium,276.7,5,2022-01-26,77,1973,205,78.1,2,4,42,Cartão de Crédito,False,False,1,0,0
CL000004,Cliente_4,32,F,Nordeste,Mensal,Padrão,89.86,32,2022-10-09,190,390,330,22.8,7,8,44,PIX,True,False,1,0,0
CL000005,Cliente_5,60,M,Nordeste,Anual,Premium,222.44,38,2022-09-08,462,1446,67,40.3,2,9,34,Cartão de Crédito,True,False,0,20,0
CL000006,Cliente_6,25,F,Nordeste,Mensal,Padrão,198.46,48,2022-08-17,222,420,409,95.8,1,6,23,Cartão de Crédito,False,True,0,0,0
CL000007,Cliente_7,38,M,Sul,Anual,Básico,237.15,2,2022-05-23,69,1908,386,19.8,5,4,39,Boleto,False,True,3,5,0
CL000008,Cliente_8,56,M,Nordeste,Bienal,Premium,87.65,5,2022-04-15,491,141,247,30.1,6,2,43,Débito Automático,True,True,2,20,1
CL000009,Cliente_9,36,F,Centro-Oeste,Mensal,Padrão,285.4,47,2023-11-24,166,1054,56,20.0,1,9,1,PIX,True,False,3,20,0
CL000010,Cliente_10,40,F,Norte,Anual,Premium,205.24,33,2023-07-13,103,1321,164,3.0,1,1,22,Cartão de Crédito,False,False,2,0,1
CL000011,Cliente_11,28,M,Sudeste,Mensal,Premium,261.77,51,2022-03-31,276,988,165,27.7,0,5,32,Cartão de Crédito,True,False,3,5,0
CL000012,Cliente_12,28,M,Sul,Mensal,Básico,111.65,35,2023-08-28,158,732,296,5.6,6,8,51,Boleto,False,True,1,0,1
CL000013,Cliente_13,41,M,Sudeste,Mensal,Padrão,234.85,19,2023-03-09,280,945,3,16.3,7,4,13,Cartão de Crédito,False,False,0,0,0
CL000014,Cliente_14,70,F,Sudeste,Mensal,Premium,245.26,15,2022-02-02,369,383,409,36.9,7,1,14,Boleto,False,True,2,20,0
CL000015,Cliente_15,53,F,Nordeste,Mensal,Premium,149.36,35,2022-01-31,357,906,294,3.1,0,4,31,PIX,False,False,1,5,0
CL000016,Cliente_16,57,M,Sudeste,Mensal,Premium,145.99,8,2022-04-06,278,281,364,75.5,1,5,22,Boleto,False,False,2,0,0
CL000017,Cliente_17,41,M,Centro-Oeste,Mensal,Básico,214.45,47,2022-08-12,348,1735,105,79.8,5,5,3,Boleto,False,False,1,10,1
CL000018,Cliente_18,20,M,Sudeste,Mensal,Básico,73.35,1,2022-08-27,136,1134,107,41.7,0,1,19,Cartão de Crédito,False,True,2,0,1
CL000019,Cliente_19,39,F,Nordeste,Anual,Premium,233.91,38,2023-06-02,323,844,169,98.5,4,2,30,Cartão de Crédito,False,False,0,25,0
CL000020,Cliente_20,70,Outro,Sul,Bienal,Premium,60.72,22,2023-09-09,277,541,266,68.2,1,6,58,Boleto,True,False,1,10,0
CL000021,Cliente_21,19,M,Sul,Mensal,Básico,97.65,17,2022-01-28,389,728,266,74.6,6,10,6,PIX,False,False,0,0,1
